tick,note,channel
0.0,69,2.0
0.0066,69,2.0
0.0132,69,2.0
0.0198,69,2.0
0.0264,69,2.0
0.033,69,2.0
0.0396,69,2.0
0.0462,69,2.0
0.0528,69,2.0
0.0594,69,2.0
0.066,69,2.0
0.0726,69,2.0
0.0792,69,2.0
0.0858,69,2.0
0.0924,69,2.0
0.099,69,2.0
0.1056,69,2.0
0.1122,69,2.0
0.1188,69,2.0
0.1254,69,2.0
0.132,69,2.0
0.1386,69,2.0
0.1452,69,2.0
0.1518,69,2.0
0.1584,69,2.0
0.165,69,2.0
0.1716,69,2.0
0.1782,69,2.0
0.1848,69,2.0
0.1914,69,2.0
0.198,69,2.0
0.2046,69,2.0
0.2112,69,2.0
0.2178,69,2.0
0.2244,69,2.0
0.231,69,2.0
0.2376,69,2.0
0.2442,69,2.0
0.2508,69,2.0
0.2574,69,2.0
0.264,69,2.0
0.2706,69,2.0
0.2772,69,2.0
0.2838,69,2.0
0.2904,69,2.0
0.297,69,2.0
0.3036,69,2.0
0.3102,69,2.0
0.3168,69,2.0
0.3234,69,2.0
0.33,69,2.0
0.3366,69,2.0
0.3432,69,2.0
0.3498,69,2.0
0.3564,69,2.0
0.363,69,2.0
0.3696,69,2.0
0.3762,69,2.0
0.3828,69,2.0
0.3894,69,2.0
0.396,69,2.0
0.4026,69,2.0
0.4092,69,2.0
0.4158,69,2.0
0.4224,69,2.0
0.429,69,2.0
0.4356,69,2.0
0.4422,69,2.0
0.4488,69,2.0
0.4554,69,2.0
0.462,69,2.0
0.4686,69,2.0
0.4752,69,2.0
0.4818,69,2.0
0.4884,69,2.0
0.495,69,2.0
0.5016,69,2.0
0.5082,69,2.0
0.5148,69,2.0
0.5214,69,2.0
0.528,69,2.0
0.5346,69,2.0
0.5412,69,2.0
0.5478,69,2.0
0.5544,69,2.0
0.561,69,2.0
0.5676,69,2.0
0.5742,69,2.0
0.5808,69,2.0
0.5874,69,2.0
0.594,69,2.0
0.6006,69,2.0
0.6072,69,2.0
0.6138,69,2.0
0.6204,69,2.0
0.627,69,2.0
0.6336,69,2.0
0.6402,69,2.0
0.6468,69,2.0
0.6534,69,2.0
0.66,69,2.0
0.6666,69,2.0
0.6732,69,2.0
0.6798,69,2.0
0.6864,69,2.0
0.693,69,2.0
0.6996,69,2.0
0.7062,69,2.0
0.7128,69,2.0
0.7194,69,2.0
0.726,69,2.0
0.7326,69,2.0
0.7392,69,2.0
0.7458,69,2.0
0.7524,69,2.0
0.759,69,2.0
0.7656,69,2.0
0.7722,69,2.0
0.7788,69,2.0
0.7854,69,2.0
0.792,69,2.0
0.7986,69,2.0
0.8052,69,2.0
0.8118,69,2.0
0.8184,69,2.0
0.825,69,2.0
0.8316,69,2.0
0.8382,69,2.0
0.8448,69,2.0
0.8514,69,2.0
0.858,69,2.0
0.8646,69,2.0
0.8712,69,2.0
0.8778,69,2.0
0.8844,69,2.0
0.891,69,2.0
0.8976,69,2.0
0.9042,69,2.0
0.9108,69,2.0
0.9174,69,2.0
0.924,69,2.0
0.9306,69,2.0
0.9372,69,2.0
0.9438,69,2.0
0.9504,69,2.0
0.957,69,2.0
0.9636,69,2.0
0.9702,69,2.0
0.9768,69,2.0
0.9834,69,2.0
0.99,69,2.0
0.9966,69,2.0
1.0032,69,2.0
1.0098,69,2.0
1.0164,69,2.0
1.023,69,2.0
1.0296,69,2.0
1.0362,69,2.0
1.0428,69,2.0
1.0494,69,2.0
1.056,69,2.0
1.0626,69,2.0
1.0692,69,2.0
1.0758,69,2.0
1.0824,69,2.0
1.089,69,2.0
1.0956,69,2.0
1.1022,69,2.0
1.1088,69,2.0
1.1154,69,2.0
1.122,69,2.0
1.1286,69,2.0
1.1352,69,2.0
1.1418,69,2.0
1.1484,69,2.0
1.155,69,2.0
1.1616,69,2.0
1.1682,69,2.0
1.1748,69,2.0
1.1814,69,2.0
1.188,69,2.0
1.1946,69,2.0
1.2012,69,2.0
1.2078,69,2.0
1.2144,69,2.0
1.221,69,2.0
1.2276,69,2.0
1.2342,69,2.0
1.2408,69,2.0
1.2474,69,2.0
1.254,69,2.0
1.2606,69,2.0
1.2672,69,2.0
1.2738,69,2.0
1.2804,69,2.0
1.287,69,2.0
1.2936,69,2.0
1.3002,69,2.0
1.3068,69,2.0
1.3134,69,2.0
1.32,69,2.0
1.3266,69,2.0
1.3332,69,2.0
1.3398,69,2.0
1.3464,69,2.0
1.353,69,2.0
1.3596,69,2.0
1.3662,69,2.0
1.3728,69,2.0
1.3794,69,2.0
1.386,69,2.0
1.3926,69,2.0
1.3992,69,2.0
1.4058,69,2.0
1.4124,69,2.0
1.419,69,2.0
1.4256,69,2.0
1.4322,69,2.0
1.4388,69,2.0
1.4454,69,2.0
1.452,69,2.0
1.4586,69,2.0
1.4652,69,2.0
1.4718,69,2.0
1.4784,69,2.0
1.485,69,2.0
1.4916,69,2.0
1.4982,69,2.0
1.5048,69,2.0
1.5114,69,2.0
1.518,69,2.0
1.5246,69,2.0
1.5312,69,2.0
1.5378,69,2.0
1.5444,69,2.0
1.551,69,2.0
1.5576,69,2.0
1.5642,69,2.0
1.5708,69,2.0
1.5774,69,2.0
1.584,69,2.0
1.5906,69,2.0
1.5972,69,2.0
1.6038,69,2.0
1.6104,69,2.0
1.617,69,2.0
1.6236,69,2.0
1.6302,69,2.0
1.6368,69,2.0
1.6434,69,2.0
1.65,69,2.0
1.6566,69,2.0
1.6632,69,2.0
1.6698,69,2.0
1.6764,69,2.0
1.683,69,2.0
1.6896,69,2.0
1.6962,69,2.0
1.7028,69,2.0
1.7094,69,2.0
1.716,69,2.0
1.7226,69,2.0
1.7292,69,2.0
1.7358,69,2.0
1.7424,69,2.0
1.749,69,2.0
1.7556,69,2.0
1.7622,69,2.0
1.7688,69,2.0
1.7754,69,2.0
1.782,69,2.0
1.7886,69,2.0
1.7952,69,2.0
1.8018,69,2.0
1.8084,69,2.0
1.815,69,2.0
1.8216,69,2.0
1.8282,69,2.0
1.8348,69,2.0
1.8414,69,2.0
1.848,69,2.0
1.8546,69,2.0
1.8612,69,2.0
1.8678,69,2.0
1.8744,69,2.0
1.881,69,2.0
1.8876,69,2.0
1.8942,69,2.0
1.9008,69,2.0
1.9074,69,2.0
1.914,69,2.0
1.9206,69,2.0
1.9272,69,2.0
1.9338,69,2.0
1.9404,69,2.0
1.947,69,2.0
1.9536,69,2.0
1.9602,69,2.0
1.9668,69,2.0
1.9734,69,2.0
1.98,69,2.0
1.9866,69,2.0
1.9932,69,2.0
1.9998,69,2.0
2.0064,69,2.0
2.013,69,2.0
2.0196,69,2.0
2.0262,69,2.0
2.0328,69,2.0
2.0394,69,2.0
2.046,69,2.0
2.0526,69,2.0
2.0592,69,2.0
2.0658,69,2.0
2.0724,69,2.0
2.079,69,2.0
2.0856,69,2.0
2.0922,69,2.0
2.0988,69,2.0
2.1054,69,2.0
2.112,69,2.0
2.1186,69,2.0
2.1252,69,2.0
2.1318,69,2.0
2.1384,69,2.0
2.145,69,2.0
2.1516,69,2.0
2.1582,69,2.0
2.1648,69,2.0
2.1714,69,2.0
2.178,69,2.0
2.1846,69,2.0
2.1912,69,2.0
2.1978,69,2.0
2.2044,69,2.0
2.211,69,2.0
2.2176,69,2.0
2.2242,69,2.0
2.2308,69,2.0
2.2374,69,2.0
2.244,69,2.0
2.2506,69,2.0
2.2572,69,2.0
2.2638,69,2.0
2.2704,69,2.0
2.277,69,2.0
2.2836,69,2.0
2.2902,69,2.0
2.2968,69,2.0
2.3034,69,2.0
2.31,69,2.0
2.3166,69,2.0
2.3232,69,2.0
2.3298,69,2.0
2.3364,69,2.0
2.343,69,2.0
2.3496,69,2.0
2.3562,69,2.0
2.3628,69,2.0
2.3694,69,2.0
2.376,69,2.0
2.3826,69,2.0
2.3892,69,2.0
2.3958,69,2.0
2.4024,69,2.0
2.409,69,2.0
2.4156,69,2.0
2.4222,69,2.0
2.4288,69,2.0
2.4354,69,2.0
2.442,69,2.0
2.4486,69,2.0
2.4552,69,2.0
2.4618,69,2.0
2.4684,69,2.0
2.475,69,2.0
2.4816,69,2.0
2.4882,69,2.0
2.4948,69,2.0
2.5014,69,2.0
2.508,69,2.0
2.5146,69,2.0
2.5263,69,2.0
2.5263,69,2.0
2.5329,69,2.0
2.5395,69,2.0
2.5461,69,2.0
2.5527,69,2.0
2.5593,69,2.0
2.5659,69,2.0
2.5725,69,2.0
2.5791,69,2.0
2.5857,69,2.0
2.5923,69,2.0
2.5989,69,2.0
2.6055,69,2.0
2.6121,69,2.0
2.6187,69,2.0
2.6253,69,2.0
2.6319,69,2.0
2.6385,69,2.0
2.6451,69,2.0
2.6517,69,2.0
2.6583,69,2.0
2.6649,69,2.0
2.6715,69,2.0
2.6781,69,2.0
2.6847,69,2.0
2.6913,69,2.0
2.6979,69,2.0
2.7045,69,2.0
2.7111,69,2.0
2.7177,69,2.0
2.7243,69,2.0
2.7309,69,2.0
2.7375,69,2.0
2.7441,69,2.0
2.7507,69,2.0
2.7573,69,2.0
2.7639,69,2.0
2.7705,69,2.0
2.7771,69,2.0
2.7837,69,2.0
2.7903,69,2.0
2.7969,69,2.0
2.8035,69,2.0
2.8101,69,2.0
2.8167,69,2.0
2.8233,69,2.0
2.8299,69,2.0
2.8365,69,2.0
2.8431,69,2.0
2.8497,69,2.0
2.8563,69,2.0
2.8629,69,2.0
2.8695,69,2.0
2.8761,69,2.0
2.8827,69,2.0
2.8893,69,2.0
2.8959,69,2.0
2.9025,69,2.0
2.9091,69,2.0
2.9157,69,2.0
2.9223,69,2.0
2.9289,69,2.0
2.9355,69,2.0
2.9421,69,2.0
2.9487,69,2.0
2.9553,69,2.0
2.9619,69,2.0
2.9685,69,2.0
2.9751,69,2.0
2.9817,69,2.0
2.9883,69,2.0
2.9949,69,2.0
3.0015,69,2.0
3.0081,69,2.0
3.0147,69,2.0
3.0213,69,2.0
3.0279,69,2.0
3.0345,69,2.0
3.0411,69,2.0
3.0477,69,2.0
3.0543,69,2.0
3.0609,69,2.0
3.0675,69,2.0
3.0741,69,2.0
3.0807,69,2.0
3.0873,69,2.0
3.0939,69,2.0
3.1005,69,2.0
3.1071,69,2.0
3.1137,69,2.0
3.1203,69,2.0
3.1269,69,2.0
3.1335,69,2.0
3.1401,69,2.0
3.1467,69,2.0
3.1533,69,2.0
3.1599,69,2.0
3.1665,69,2.0
3.1731,69,2.0
3.1797,69,2.0
3.1863,69,2.0
3.1929,69,2.0
3.1995,69,2.0
3.2061,69,2.0
3.2127,69,2.0
3.2193,69,2.0
3.2259,69,2.0
3.2325,69,2.0
3.2391,69,2.0
3.2457,69,2.0
3.2523,69,2.0
3.2589,69,2.0
3.2655,69,2.0
3.2721,69,2.0
3.2787,69,2.0
3.2853,69,2.0
3.2919,69,2.0
3.2985,69,2.0
3.3051,69,2.0
3.3117,69,2.0
3.3183,69,2.0
3.3249,69,2.0
3.3315,69,2.0
3.3381,69,2.0
3.3447,69,2.0
3.3513,69,2.0
3.3579,69,2.0
3.3645,69,2.0
3.3711,69,2.0
3.3777,69,2.0
3.3843,69,2.0
3.3909,69,2.0
3.3975,69,2.0
3.4041,69,2.0
3.4107,69,2.0
3.4173,69,2.0
3.4239,69,2.0
3.4305,69,2.0
3.4371,69,2.0
3.4437,69,2.0
3.4503,69,2.0
3.4569,69,2.0
3.4635,69,2.0
3.4701,69,2.0
3.4767,69,2.0
3.4833,69,2.0
3.4899,69,2.0
3.4965,69,2.0
3.5031,69,2.0
3.5097,69,2.0
3.5163,69,2.0
3.5229,69,2.0
3.5295,69,2.0
3.5361,69,2.0
3.5427,69,2.0
3.5493,69,2.0
3.5559,69,2.0
3.5625,69,2.0
3.5691,69,2.0
3.5757,69,2.0
3.5823,69,2.0
3.5889,69,2.0
3.5955,69,2.0
3.6021,69,2.0
3.6087,69,2.0
3.6153,69,2.0
3.6219,69,2.0
3.6285,69,2.0
3.6351,69,2.0
3.6417,69,2.0
3.6483,69,2.0
3.6549,69,2.0
3.6615,69,2.0
3.6681,69,2.0
3.6747,69,2.0
3.6813,69,2.0
3.6879,69,2.0
3.6945,69,2.0
3.7011,69,2.0
3.7077,69,2.0
3.7143,69,2.0
3.7209,69,2.0
3.7275,69,2.0
3.7341,69,2.0
3.7407,69,2.0
3.7473,69,2.0
3.7539,69,2.0
3.7605,69,2.0
3.7671,69,2.0
3.7737,69,2.0
3.7803,69,2.0
3.7895,69,2.0
37.263,69,2.0
37.2696,69,2.0
37.2762,69,2.0
37.2828,69,2.0
37.2894,69,2.0
37.296,69,2.0
37.3026,69,2.0
37.3092,69,2.0
37.3158,69,2.0
37.3224,69,2.0
37.329,69,2.0
37.3356,69,2.0
37.3422,69,2.0
37.3488,69,2.0
37.3554,69,2.0
37.362,69,2.0
37.3686,69,2.0
37.3752,69,2.0
37.3818,69,2.0
37.3884,69,2.0
37.395,69,2.0
37.4016,69,2.0
37.4082,69,2.0
37.4148,69,2.0
37.4214,69,2.0
37.428,69,2.0
37.4346,69,2.0
37.4412,69,2.0
37.4478,69,2.0
37.4544,69,2.0
37.461,69,2.0
37.4676,69,2.0
37.4742,69,2.0
37.4808,69,2.0
37.4874,69,2.0
37.494,69,2.0
37.5006,69,2.0
37.5072,69,2.0
37.5138,69,2.0
37.5204,69,2.0
37.527,69,2.0
37.5336,69,2.0
37.5402,69,2.0
37.5468,69,2.0
37.5534,69,2.0
37.56,69,2.0
37.5666,69,2.0
37.5732,69,2.0
37.5798,69,2.0
37.5864,69,2.0
37.593,69,2.0
37.5996,69,2.0
37.6062,69,2.0
37.6128,69,2.0
37.6194,69,2.0
37.626,69,2.0
37.6326,69,2.0
37.6392,69,2.0
37.6458,69,2.0
37.6524,69,2.0
37.659,69,2.0
37.6656,69,2.0
37.6722,69,2.0
37.6788,69,2.0
37.6854,69,2.0
37.692,69,2.0
37.6986,69,2.0
37.7052,69,2.0
37.7118,69,2.0
37.7184,69,2.0
37.725,69,2.0
37.7316,69,2.0
37.7382,69,2.0
37.7448,69,2.0
37.7514,69,2.0
37.758,69,2.0
37.7646,69,2.0
37.7712,69,2.0
37.7778,69,2.0
37.7844,69,2.0
37.791,69,2.0
37.7976,69,2.0
37.8042,69,2.0
37.8108,69,2.0
37.8174,69,2.0
37.824,69,2.0
37.8306,69,2.0
37.8372,69,2.0
37.8438,69,2.0
37.8504,69,2.0
37.857,69,2.0
37.8636,69,2.0
37.8702,69,2.0
37.8768,69,2.0
37.8834,69,2.0
37.8946,69,2.0
37.8946,69,2.0
37.9012,69,2.0
37.9078,69,2.0
37.9144,69,2.0
37.921,69,2.0
37.9276,69,2.0
37.9342,69,2.0
37.9408,69,2.0
37.9474,69,2.0
37.954,69,2.0
37.9606,69,2.0
37.9672,69,2.0
37.9738,69,2.0
37.9804,69,2.0
37.987,69,2.0
37.9936,69,2.0
38.0002,69,2.0
38.0068,69,2.0
38.0134,69,2.0
38.02,69,2.0
38.0266,69,2.0
38.0332,69,2.0
38.0398,69,2.0
38.0464,69,2.0
38.053,69,2.0
38.0596,69,2.0
38.0662,69,2.0
38.0728,69,2.0
38.0794,69,2.0
38.086,69,2.0
38.0926,69,2.0
38.0992,69,2.0
38.1058,69,2.0
38.1124,69,2.0
38.119,69,2.0
38.1256,69,2.0
38.1322,69,2.0
38.1388,69,2.0
38.1454,69,2.0
38.152,69,2.0
38.1586,69,2.0
38.1652,69,2.0
38.1718,69,2.0
38.1784,69,2.0
38.185,69,2.0
38.1916,69,2.0
38.1982,69,2.0
38.2048,69,2.0
38.2114,69,2.0
38.218,69,2.0
38.2246,69,2.0
38.2312,69,2.0
38.2378,69,2.0
38.2444,69,2.0
38.251,69,2.0
38.2576,69,2.0
38.2642,69,2.0
38.2708,69,2.0
38.2774,69,2.0
38.284,69,2.0
38.2906,69,2.0
38.2972,69,2.0
38.3038,69,2.0
38.3104,69,2.0
38.317,69,2.0
38.3236,69,2.0
38.3302,69,2.0
38.3368,69,2.0
38.3434,69,2.0
38.35,69,2.0
38.3566,69,2.0
38.3632,69,2.0
38.3698,69,2.0
38.3764,69,2.0
38.383,69,2.0
38.3896,69,2.0
38.3962,69,2.0
38.4028,69,2.0
38.4094,69,2.0
38.416,69,2.0
38.4226,69,2.0
38.4292,69,2.0
38.4358,69,2.0
38.4424,69,2.0
38.449,69,2.0
38.4556,69,2.0
38.4622,69,2.0
38.4688,69,2.0
38.4754,69,2.0
38.482,69,2.0
38.4886,69,2.0
38.4952,69,2.0
38.5018,69,2.0
38.5084,69,2.0
38.515,69,2.0
38.5216,69,2.0
38.5282,69,2.0
38.5348,69,2.0
38.5414,69,2.0
38.548,69,2.0
38.5546,69,2.0
38.5612,69,2.0
38.5678,69,2.0
38.5744,69,2.0
38.581,69,2.0
38.5876,69,2.0
38.5942,69,2.0
38.6008,69,2.0
38.6074,69,2.0
38.614,69,2.0
38.6206,69,2.0
38.6272,69,2.0
38.6338,69,2.0
38.6404,69,2.0
38.647,69,2.0
38.6536,69,2.0
38.6602,69,2.0
38.6668,69,2.0
38.6734,69,2.0
38.68,69,2.0
38.6866,69,2.0
38.6932,69,2.0
38.6998,69,2.0
38.7064,69,2.0
38.713,69,2.0
38.7196,69,2.0
38.7262,69,2.0
38.7328,69,2.0
38.7394,69,2.0
38.746,69,2.0
38.7526,69,2.0
38.7592,69,2.0
38.7658,69,2.0
38.7724,69,2.0
38.779,69,2.0
38.7856,69,2.0
38.7922,69,2.0
38.7988,69,2.0
38.8054,69,2.0
38.812,69,2.0
38.8186,69,2.0
38.8252,69,2.0
38.8318,69,2.0
38.8384,69,2.0
38.845,69,2.0
38.8516,69,2.0
38.8582,69,2.0
38.8648,69,2.0
38.8714,69,2.0
38.878,69,2.0
38.8846,69,2.0
38.8912,69,2.0
38.8978,69,2.0
38.9044,69,2.0
38.911,69,2.0
38.9176,69,2.0
38.9242,69,2.0
38.9308,69,2.0
38.9374,69,2.0
38.944,69,2.0
38.9506,69,2.0
38.9572,69,2.0
38.9638,69,2.0
38.9704,69,2.0
38.977,69,2.0
38.9836,69,2.0
38.9902,69,2.0
38.9968,69,2.0
39.0034,69,2.0
39.01,69,2.0
39.0166,69,2.0
39.0232,69,2.0
39.0298,69,2.0
39.0364,69,2.0
39.043,69,2.0
39.0496,69,2.0
39.0562,69,2.0
39.0628,69,2.0
39.0694,69,2.0
39.076,69,2.0
39.0826,69,2.0
39.0892,69,2.0
39.0958,69,2.0
39.1024,69,2.0
39.109,69,2.0
39.1156,69,2.0
39.1222,69,2.0
39.1288,69,2.0
39.1354,69,2.0
39.142,69,2.0
39.1486,69,2.0
39.1552,69,2.0
39.1618,69,2.0
39.1684,69,2.0
39.175,69,2.0
39.1816,69,2.0
39.1882,69,2.0
39.1948,69,2.0
39.2014,69,2.0
39.208,69,2.0
39.2146,69,2.0
39.2212,69,2.0
39.2278,69,2.0
39.2344,69,2.0
39.241,69,2.0
39.2476,69,2.0
39.2542,69,2.0
39.2608,69,2.0
39.2674,69,2.0
39.274,69,2.0
39.2806,69,2.0
39.2872,69,2.0
39.2938,69,2.0
39.3004,69,2.0
39.307,69,2.0
39.3136,69,2.0
39.3202,69,2.0
39.3268,69,2.0
39.3334,69,2.0
39.34,69,2.0
39.3466,69,2.0
39.3532,69,2.0
39.3598,69,2.0
39.3664,69,2.0
39.373,69,2.0
39.3796,69,2.0
39.3862,69,2.0
39.3928,69,2.0
39.3994,69,2.0
39.406,69,2.0
39.4126,69,2.0
39.4192,69,2.0
39.4258,69,2.0
39.4324,69,2.0
39.439,69,2.0
39.4456,69,2.0
39.4522,69,2.0
39.4588,69,2.0
39.4654,69,2.0
39.472,69,2.0
39.4786,69,2.0
39.4852,69,2.0
39.4918,69,2.0
39.4984,69,2.0
39.505,69,2.0
39.5116,69,2.0
39.5182,69,2.0
39.5248,69,2.0
39.5314,69,2.0
39.538,69,2.0
39.5446,69,2.0
39.5512,69,2.0
39.5578,69,2.0
