	name	symbol	country	indices	industries	symbols	metadata	isins	akas	wiki_name
0	adidas AG	ADS	Germany	['DAX', 'EURO STOXX 50']	['Cyclical Consumer Products', 'Footwear', 'Textiles & Apparel', 'Consumer Cyclicals', 'Sportswear', 'Toiletries']	[{'yahoo': 'ADS.F', 'google': 'FRA:ADS', 'currency': 'EUR'}, {'yahoo': 'ADDDF', 'google': 'OTCMKTS:ADDDF', 'currency': 'USD'}, {'yahoo': 'ADDYY', 'google': 'OTCMKTS:ADDYY', 'currency': 'USD'}, {'yahoo': 'ADS1.F', 'google': 'FRA:ADS1', 'currency': 'EUR'}]	{'founded': 1924, 'employees': 57016}	['DE000A1EWWW0']	[]	
1	Hugo Boss AG	BOSS	Germany	['MDAX']	['Cyclical Consumer Products', 'Textiles & Apparel', 'Apparel & Accessories', 'Consumer Cyclicals']	[{'yahoo': 'BOSS.F', 'google': 'FRA:BOSS', 'currency': 'EUR'}, {'yahoo': 'BOSSY', 'google': 'OTCMKTS:BOSSY', 'currency': 'USD'}, {'yahoo': 'BOSA.F', 'google': 'FRA:BOSA', 'currency': 'EUR'}, {'yahoo': 'HUGPF', 'google': 'OTCMKTS:HUGPF', 'currency': 'USD'}]	{'founded': 1924, 'employees': 14600}	['DE000A1PHFF7']	[]	
2	RATIONAL AG	RAA	Germany	['MDAX']	['Cyclical Consumer Products', 'Appliances, Tools & Housewares', 'Household Goods', 'Consumer Cyclicals']	[{'yahoo': 'RAA.F', 'google': 'FRA:RAA', 'currency': 'EUR'}, {'yahoo': 'RTLLF', 'google': 'OTCMKTS:RTLLF', 'currency': 'USD'}, {'yahoo': 'RATIY', 'google': 'OTCMKTS:RATIY', 'currency': 'USD'}, {'yahoo': 'RAA1.F', 'google': 'FRA:RAA1', 'currency': 'EUR'}]	{'founded': 1973, 'employees': 2258}	['DE0007010803']	[]	
3	Barratt Developments PLC	BDEV	United Kingdom	['FTSE 100']	['Cyclical Consumer Products', 'Homebuilding', 'Homebuilding / Household Goods', 'Consumer Cyclicals']	[{'yahoo': 'BDEV.F', 'google': 'FRA:BDEV', 'currency': 'EUR'}, {'yahoo': 'BDEV', 'google': 'OTCMKTS:BDEV', 'currency': 'USD'}, {'yahoo': '3BA.F', 'google': 'FRA:3BA', 'currency': 'EUR'}, {'yahoo': 'BTDPY', 'google': 'OTCMKTS:BTDPY', 'currency': 'USD'}, {'yahoo': 'BDEV.L', 'google': 'LON:BDEV', 'currency': 'GBP'}, {'yahoo': '3BAA.F', 'google': 'FRA:3BAA', 'currency': 'EUR'}, {'yahoo': 'BTDPF', 'google': 'OTCMKTS:BTDPF', 'currency': 'USD'}]	{'founded': 1958, 'employees': 6655}	['GB0000811801']	[]	
4	Berkeley Group Holdings/The	BKG	United Kingdom	['FTSE 100']	['Cyclical Consumer Products', 'Homebuilding', 'Homebuilding / Household Goods', 'Consumer Cyclicals']	[{'yahoo': 'BKG.F', 'google': 'FRA:BKG', 'currency': 'EUR'}, {'yahoo': 'BKG', 'google': 'OTCMKTS:BKG', 'currency': 'USD'}, {'yahoo': 'BKGFF', 'google': 'OTCMKTS:BKGFF', 'currency': 'USD'}, {'yahoo': '42BA.F', 'google': 'FRA:42BA', 'currency': 'EUR'}, {'yahoo': 'BKG.L', 'google': 'LON:BKG', 'currency': 'GBP'}, {'yahoo': 'BKGFY', 'google': 'OTCMKTS:BKGFY', 'currency': 'USD'}, {'yahoo': '42BB.F', 'google': 'FRA:42BB', 'currency': 'EUR'}]	{'founded': 1976, 'employees': 2709}	['GB00BLJNXL82']	[]	
5	Persimmon PLC	PSN	United Kingdom	['FTSE 100']	['Cyclical Consumer Products', 'Homebuilding', 'Homebuilding / Household Goods', 'Consumer Cyclicals']	[{'yahoo': 'OHP.F', 'google': 'FRA:OHP', 'currency': 'EUR'}, {'yahoo': 'PSMMY', 'google': 'OTCMKTS:PSMMY', 'currency': 'USD'}, {'yahoo': 'PSMMF', 'google': 'OTCMKTS:PSMMF', 'currency': 'USD'}, {'yahoo': 'PSN.L', 'google': 'LON:PSN', 'currency': 'GBP'}, {'yahoo': 'OHP0.F', 'google': 'FRA:OHP0', 'currency': 'EUR'}]	{'founded': 1972, 'employees': 5221}	['GB0006825383']	[]	
6	Taylor Wimpey PLC	TW.	United Kingdom	['FTSE 100']	['Cyclical Consumer Products', 'Homebuilding', 'Homebuilding / Household Goods', 'Consumer Cyclicals']	[{'yahoo': 'TWW.F', 'google': 'FRA:TWW', 'currency': 'EUR'}, {'yahoo': 'TWODF', 'google': 'OTCMKTS:TWODF', 'currency': 'USD'}, {'yahoo': 'TW.L', 'google': 'LON:TW', 'currency': 'GBP'}, {'yahoo': 'TWODY', 'google': 'OTCMKTS:TWODY', 'currency': 'USD'}]	{'founded': 2007, 'employees': ''}	[]	[]	
7	Hermès International SCA	RMS	France	['CAC 40', 'EURO STOXX 50']	['Cyclical Consumer Products', 'Textiles & Apparel', 'Apparel & Accessories', 'Consumer Cyclicals']	[{'yahoo': 'HMI.F', 'google': 'FRA:HMI', 'currency': 'EUR'}, {'yahoo': 'HESAY', 'google': 'OTCMKTS:HESAY', 'currency': 'USD'}]	{'founded': 1837, 'employees': 14284}	['FR0000052292']	[]	
8	Compagnie de Saint-Gobain SA	SGO	France	['CAC 40']	['Cyclical Consumer Products', 'Construction Supplies & Fixtures', 'Homebuilding / Household Goods', 'Consumer Cyclicals']	[{'yahoo': 'GOB.F', 'google': 'FRA:GOB', 'currency': 'EUR'}, {'yahoo': 'CODGF', 'google': 'OTCMKTS:CODGF', 'currency': 'USD'}, {'yahoo': 'CODYY', 'google': 'OTCMKTS:CODYY', 'currency': 'USD'}, {'yahoo': 'COD.L', 'google': 'LON:COD', 'currency': 'GBP'}, {'yahoo': 'GOBU.F', 'google': 'FRA:GOBU', 'currency': 'EUR'}]	{'founded': 1665, 'employees': 180000}	['FR0000125007']	[]	
9	D.R. Horton Inc.	DHI	United States	['S&P 500']	['Cyclical Consumer Products', 'Homebuilding', 'Homebuilding / Household Goods', 'Consumer Cyclicals']	[{'yahoo': 'HO2.F', 'google': 'FRA:HO2', 'currency': 'EUR'}, {'yahoo': 'DHI', 'google': 'NYSE:DHI', 'currency': 'USD'}]	{'founded': 1978, 'employees': 7735}	[]	[]	
