	name	symbol	country	indices	industries	symbols	metadata	isins	akas	wiki_name
0	Deutsche Lufthansa AG	LHA	Germany	['MDAX']	['Passenger Transportation Services', 'Industrials', 'Airlines', 'Transportation']	[{'yahoo': 'LHA.F', 'google': 'FRA:LHA', 'currency': 'EUR'}, {'yahoo': 'DLAKY', 'google': 'OTCMKTS:DLAKY', 'currency': 'USD'}, {'yahoo': 'DLAKF', 'google': 'OTCMKTS:DLAKF', 'currency': 'USD'}, {'yahoo': '0H4A.L', 'google': 'LON:0H4A', 'currency': 'GBP'}, {'yahoo': 'LHAB.F', 'google': 'FRA:LHAB', 'currency': 'EUR'}]	{'founded': 1953, 'employees': 110065}	['DE0008232125']	[]	
1	Deutsche Post AG	DPW	Germany	['DAX', 'EURO STOXX 50']	['Industrials', 'Air Freight & Courier Services', 'Freight & Logistics Services', 'Transportation']	[{'yahoo': 'DPW.F', 'google': 'FRA:DPW', 'currency': 'EUR'}, {'yahoo': 'DPSGY', 'google': 'OTCMKTS:DPSGY', 'currency': 'USD'}, {'yahoo': 'DPWA.F', 'google': 'FRA:DPWA', 'currency': 'EUR'}, {'yahoo': 'DPWN.F', 'google': 'FRA:DPWN', 'currency': 'EUR'}, {'yahoo': 'DHL.F', 'google': 'FRA:DHL', 'currency': 'EUR'}, {'yahoo': 'DHLGY', 'google': 'OTCMKTS:DHLGY', 'currency': 'USD'}]	{'founded': 1995, 'employees': 546924}	['DE0005552004']	[]	
2	Siemens AG	SIE	Germany	['DAX', 'EURO STOXX 50']	['Industrials', 'Industrial Conglomerates']	[{'yahoo': 'SIE.F', 'google': 'FRA:SIE', 'currency': 'EUR'}, {'yahoo': 'SMAWF', 'google': 'OTCMKTS:SMAWF', 'currency': 'USD'}, {'yahoo': 'SIEGY', 'google': 'OTCMKTS:SIEGY', 'currency': 'USD'}, {'yahoo': 'SI', 'google': 'NYSE:SI', 'currency': 'USD'}, {'yahoo': 'SIEB.F', 'google': 'FRA:SIEB', 'currency': 'EUR'}]	{'founded': 1847, 'employees': 293000}	['DE0007236101']	[]	
3	Airbus SE	AIR	Netherlands	['DAX']	['Industrial Goods', 'Industrials', 'Aerospace & Defense']	[{'yahoo': 'AIR.F', 'google': 'FRA:AIR', 'currency': 'EUR'}, {'yahoo': 'EADSF', 'google': 'OTCMKTS:EADSF', 'currency': 'USD'}, {'yahoo': 'EADSY', 'google': 'OTCMKTS:EADSY', 'currency': 'USD'}, {'yahoo': 'AIR.MC', 'google': 'BME:AIR', 'currency': 'EUR'}, {'yahoo': 'AIRA.F', 'google': 'FRA:AIRA', 'currency': 'EUR'}]	{'founded': 1970, 'employees': 131349}	['NL0000235190']	[]	
4	Dürr AG	DUE	Germany	['MDAX']	['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Industrial Machinery & Equipment']	[{'yahoo': 'DUE.F', 'google': 'FRA:DUE', 'currency': 'EUR'}, {'yahoo': 'DUERF', 'google': '-', 'currency': 'USD'}]	{'founded': 1896, 'employees': 16525}	['DE0005565204']	[]	
5	Fraport AG	FRA	Germany	['MDAX']	['Industrials', 'Transport Infrastructure', 'Airport Services', 'Transportation']	[{'yahoo': 'FRA.F', 'google': 'FRA:FRA', 'currency': 'EUR'}, {'yahoo': 'FPRUF', 'google': 'OTCMKTS:FPRUF', 'currency': 'USD'}, {'yahoo': 'FPRUY', 'google': 'OTCMKTS:FPRUY', 'currency': 'USD'}, {'yahoo': 'FRAS.F', 'google': 'FRA:FRAS', 'currency': 'EUR'}]	{'founded': 1947, 'employees': 21164}	['DE0005773303']	[]	
6	GEA Group AG	G1A	Germany	['MDAX']	['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Industrial Machinery & Equipment']	[{'yahoo': 'G1A.F', 'google': 'FRA:G1A', 'currency': 'EUR'}, {'yahoo': 'GEAGY', 'google': 'OTCMKTS:GEAGY', 'currency': 'USD'}, {'yahoo': 'GEAGF', 'google': 'OTCMKTS:GEAGF', 'currency': 'USD'}]	{'founded': 1881, 'employees': 18232}	['DE0006602006']	[]	
7	HOCHTIEF AG	HOT	Germany	['SDAX']	['Industrials', 'Construction & Engineering', 'Industrial & Commercial Services']	[{'yahoo': 'HOT.F', 'google': 'FRA:HOT', 'currency': 'EUR'}, {'yahoo': 'HOCFY', 'google': 'OTCMKTS:HOCFY', 'currency': 'USD'}, {'yahoo': 'HOCFF', 'google': 'OTCMKTS:HOCFF', 'currency': 'USD'}]	{'founded': 1873, 'employees': 55777}	['DE0006070006']	[]	
8	KION GROUP AG	KGX	Germany	['MDAX']	['Industrial Goods', 'Industrials', 'Heavy Machinery & Vehicles', 'Machinery, Equipment & Components']	[{'yahoo': 'KGX.F', 'google': 'FRA:KGX', 'currency': 'EUR'}, {'yahoo': 'KNNGF', 'google': 'OTCMKTS:KNNGF', 'currency': 'USD'}, {'yahoo': 'KIGRY', 'google': 'OTCMKTS:KIGRY', 'currency': 'USD'}, {'yahoo': 'KGX1.F', 'google': 'FRA:KGX1', 'currency': 'EUR'}]	{'founded': 2006, 'employees': 36207}	['DE000KGX8881']	[]	
9	MTU Aero Engines AG	MTX	Germany	['DAX']	['Industrial Goods', 'Industrials', 'Aerospace & Defense']	[{'yahoo': 'MTX.F', 'google': 'FRA:MTX', 'currency': 'EUR'}, {'yahoo': 'MTUAF', 'google': 'OTCMKTS:MTUAF', 'currency': 'USD'}, {'yahoo': 'MTUAY', 'google': 'OTCMKTS:MTUAY', 'currency': 'USD'}, {'yahoo': 'MTX1.F', 'google': 'FRA:MTX1', 'currency': 'EUR'}]	{'founded': 1934, 'employees': 10313}	['DE000A0D9PT0']	[]	
10	NORMA Group SE	NOEJ	Germany	['SDAX']	['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Industrial Machinery & Equipment']	[{'yahoo': 'NOEJ.F', 'google': 'FRA:NOEJ', 'currency': 'EUR'}, {'yahoo': 'NOEJF', 'google': 'OTCMKTS:NOEJF', 'currency': 'USD'}]	{'founded': 2006, 'employees': 8521}	['DE000A1H8BV3']	[]	
11	Bilfinger SE	GBF	Germany	['SDAX']	['Industrials', 'Construction & Engineering', 'Industrial & Commercial Services']	[{'yahoo': 'GBF.F', 'google': 'FRA:GBF', 'currency': 'EUR'}, {'yahoo': 'BFLBY', 'google': 'OTCMKTS:BFLBY', 'currency': 'USD'}, {'yahoo': 'GBFU.F', 'google': 'FRA:GBFU', 'currency': 'EUR'}, {'yahoo': 'BFLBF', 'google': 'OTCMKTS:BFLBF', 'currency': 'USD'}]	{'founded': 1880, 'employees': 34120}	['DE0005909006']	[]	
12	CEWE Stiftung & Co. KGaA	CWC	Germany	['SDAX']	['Industrials', 'Professional & Commercial Services', 'Commercial Printing Services', 'Industrial & Commercial Services']	[{'yahoo': 'CWC.F', 'google': 'FRA:CWC', 'currency': 'EUR'}, {'yahoo': '0N8F.L', 'google': 'LON:0N8F', 'currency': 'GBP'}]	{'founded': 1961, 'employees': 4199}	['DE0005403901']	[]	
13	DEUTZ AG	DEZ	Germany	['SDAX']	['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Industrial Machinery & Equipment']	[{'yahoo': 'DEZ.F', 'google': 'FRA:DEZ', 'currency': 'EUR'}, {'yahoo': 'DEUZF', 'google': 'OTCMKTS:DEUZF', 'currency': 'USD'}]	{'founded': 1864, 'employees': 4586}	['DE0006305006']	[]	
14	Heidelberger Druckmaschinen AG	HDD	Germany	['SDAX']	['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Industrial Machinery & Equipment']	[{'yahoo': 'HDD.F', 'google': 'FRA:HDD', 'currency': 'EUR'}, {'yahoo': 'HDD', 'google': 'OTCMKTS:HDD', 'currency': 'USD'}, {'yahoo': 'HDDF.F', 'google': 'FRA:HDDF', 'currency': 'EUR'}, {'yahoo': 'HBGRY', 'google': 'OTCMKTS:HBGRY', 'currency': 'USD'}]	{'founded': 1850, 'employees': 11511}	['DE0007314007']	[]	
15	INDUS HOLDING AG	INH	Germany	['SDAX']	['Industrials', 'Industrial Conglomerates']	[{'yahoo': 'INH.F', 'google': 'FRA:INH', 'currency': 'EUR'}, {'yahoo': 'INDXF', 'google': 'OTCMKTS:INDXF', 'currency': 'USD'}, {'yahoo': 'INDHF', 'google': 'OTCMKTS:INDHF', 'currency': 'USD'}]	{'founded': 1989, 'employees': 10644}	['DE0006200108']	[]	
16	JENOPTIK AG	JEN	Germany	['SDAX', 'TECDAX']	['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Industrial Machinery & Equipment']	[{'yahoo': 'JEN.F', 'google': 'FRA:JEN', 'currency': 'EUR'}, {'yahoo': 'JNPKF', 'google': 'OTCMKTS:JNPKF', 'currency': 'USD'}]	{'founded': 1991, 'employees': 4043}	['DE000A2NB601']	[]	
17	JUNGHEINRICH AG	JUN3	Germany	['MDAX']	['Industrial Goods', 'Industrials', 'Heavy Machinery & Vehicles', 'Machinery, Equipment & Components']	[{'yahoo': 'JUN3.F', 'google': 'FRA:JUN3', 'currency': 'EUR'}, {'yahoo': 'JGHAF', 'google': 'OTCMKTS:JGHAF', 'currency': 'USD'}, {'yahoo': 'JGHHY', 'google': 'OTCMKTS:JGHHY', 'currency': 'USD'}, {'yahoo': 'JUNU.F', 'google': 'FRA:JUNU', 'currency': 'EUR'}, {'yahoo': '0EXP.L', 'google': 'LON:0EXP', 'currency': 'GBP'}]	{'founded': 1953, 'employees': 18103}	['DE0006219934']	[]	
18	Krones AG	KRN	Germany	['SDAX']	['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Industrial Machinery & Equipment']	[{'yahoo': 'KRN.F', 'google': 'FRA:KRN', 'currency': 'EUR'}, {'yahoo': 'KRNNF', 'google': 'OTCMKTS:KRNNF', 'currency': 'USD'}, {'yahoo': 'KRNU.F', 'google': 'FRA:KRNU', 'currency': 'EUR'}, {'yahoo': 'KRNTY', 'google': 'OTCMKTS:KRNTY', 'currency': 'USD'}, {'yahoo': '0LQ4.L', 'google': 'LON:0LQ4', 'currency': 'GBP'}]	{'founded': 1951, 'employees': 17353}	['DE0006335003']	[]	
19	Nordex SE	NDX1	Germany	['SDAX', 'TECDAX']	['Heavy Electrical Equipment', 'Industrial Goods', 'Industrials', 'Machinery, Equipment & Components']	[{'yahoo': 'NDX1.F', 'google': 'FRA:NDX1', 'currency': 'EUR'}, {'yahoo': 'NRDXF', 'google': 'OTCMKTS:NRDXF', 'currency': 'USD'}, {'yahoo': 'NDX.F', 'google': 'FRA:NDX', 'currency': 'EUR'}, {'yahoo': 'NRXXY', 'google': 'OTCMKTS:NRXXY', 'currency': 'USD'}]	{'founded': 1985, 'employees': 8527}	['DE000A0D6554']	[]	
20	PFEIFFER VACUUM TECHNOLOGY AG	PFV	Germany	['SDAX']	['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Industrial Machinery & Equipment']	[{'yahoo': 'PFV.F', 'google': 'FRA:PFV', 'currency': 'EUR'}, {'yahoo': 'PFV', 'google': 'OTCMKTS:PFV', 'currency': 'USD'}, {'yahoo': 'PFFVF', 'google': 'OTCMKTS:PFFVF', 'currency': 'USD'}, {'yahoo': '0FQR.L', 'google': 'LON:0FQR', 'currency': 'GBP'}]	{'founded': 1890, 'employees': 3276}	['DE0006916604']	[]	
21	Sixt SE	SIX2	Germany	['MDAX']	['Passenger Transportation Services', 'Industrials', 'Passenger Transportation, Ground & Sea', 'Transportation']	[{'yahoo': 'SIX2.F', 'google': 'FRA:SIX2', 'currency': 'EUR'}, {'yahoo': 'SXT', 'google': 'NYSE:SXT', 'currency': 'USD'}, {'yahoo': 'SIXGF', 'google': 'OTCMKTS:SIXGF', 'currency': 'USD'}, {'yahoo': 'SIX3.F', 'google': 'FRA:SIX3', 'currency': 'EUR'}]	{'founded': 1912, 'employees': 8748}	['DE0007231326', 'DE0007231334']	[]	
22	Stabilus SA	STM	Luxembourg	['MDAX']	['Industrial Goods', 'Industrials', 'Machinery, Equipment & Components', 'Industrial Machinery & Equipment']	[{'yahoo': 'STM.F', 'google': 'FRA:STM', 'currency': 'EUR'}, {'yahoo': 'SIUAF', 'google': 'OTCMKTS:SIUAF', 'currency': 'USD'}, {'yahoo': 'STMU.F', 'google': 'FRA:STMU', 'currency': 'EUR'}, {'yahoo': 'SBLUY', 'google': 'OTCMKTS:SBLUY', 'currency': 'USD'}]	{'founded': 1934, 'employees': 6488}	['LU1066226637']	[]	
23	Wacker Neuson SE	WAC	Germany	['SDAX']	['Industrial Goods', 'Industrials', 'Heavy Machinery & Vehicles', 'Machinery, Equipment & Components']	[{'yahoo': 'WAC.F', 'google': 'FRA:WAC', 'currency': 'EUR'}, {'yahoo': 'WKRCF', 'google': 'OTCMKTS:WKRCF', 'currency': 'USD'}, {'yahoo': '0K11.L', 'google': 'LON:0K11', 'currency': 'GBP'}]	{'founded': 1848, 'employees': 5500}	['DE000WACK012']	[]	
