20190101RL, [1044, 109]
20190201RL, [1043, 109]
20190202RL, [1043, 109]
20190301RL, [1043, 110]
20190401RL, [1037, 109]
20190501RL, [1036, 109]
20190601RL, [1035, 109]
20190701RL, [1037, 110]
20190801RL, [1038, 110]
20190901RL, [1000, 105]
20191001RL, [1035, 106]
20191101RL, [1035, 104]
20191201RL, [1035, 103]
20191301RL, [1038, 104]
20191401RL, [1037, 104]
20191501RL, [1036, 102]
20191601RL, [1034, 102]
20191701RL, [1036, 102]
20191801RL, [1038, 102]
20191901RL, [1036, 102]
20192001RL, [1030, 101]
20192002RL, [3, 2]
