nivel_salarial,fecha_ingreso,fecha_ingreso
16.0,2008-01-01 00:00:00,91
16.0,2008-09-16 00:00:00,8
16.0,2008-10-16 00:00:00,2
16.0,2009-01-01 00:00:00,48
16.0,2009-09-01 00:00:00,1
16.0,2013-09-01 00:00:00,3
16.0,2013-09-02 00:00:00,1
16.0,2014-10-16 00:00:00,16
16.0,2015-11-09 00:00:00,4
16.0,2016-03-03 00:00:00,1
16.0,2016-09-19 00:00:00,6
16.0,2017-08-16 00:00:00,4
16.0,NO FECHA,21
18.0,2002-01-01 00:00:00,1
18.0,2002-03-01 00:00:00,1
18.0,2002-07-16 00:00:00,1
18.0,2002-11-01 00:00:00,2
18.0,2003-03-16 00:00:00,2
18.0,2004-01-01 00:00:00,2
18.0,2004-02-01 00:00:00,2
18.0,2004-02-16 00:00:00,1
18.0,2004-03-01 00:00:00,1
18.0,2004-04-01 00:00:00,1
18.0,2004-05-16 00:00:00,1
18.0,2004-06-01 00:00:00,1
18.0,2004-09-01 00:00:00,1
18.0,2004-09-16 00:00:00,1
18.0,2004-10-01 00:00:00,1
18.0,2004-12-15 00:00:00,1
18.0,2005-03-01 00:00:00,1
18.0,2005-04-01 00:00:00,2
18.0,2005-05-01 00:00:00,1
18.0,2005-06-01 00:00:00,1
18.0,2005-07-01 00:00:00,1
18.0,2005-08-01 00:00:00,1
18.0,2005-10-01 00:00:00,4
18.0,2006-01-01 00:00:00,1
18.0,2006-06-01 00:00:00,1
18.0,2006-06-16 00:00:00,1
18.0,2006-07-16 00:00:00,5
18.0,2006-08-01 00:00:00,1
18.0,2006-09-01 00:00:00,5
18.0,2006-09-16 00:00:00,2
18.0,2006-10-01 00:00:00,1
18.0,2006-10-16 00:00:00,1
18.0,2006-11-01 00:00:00,3
18.0,2006-11-16 00:00:00,1
18.0,2006-12-01 00:00:00,2
18.0,2007-03-16 00:00:00,2
18.0,2007-04-01 00:00:00,1
18.0,2007-05-01 00:00:00,3
18.0,2007-06-01 00:00:00,3
18.0,2007-06-16 00:00:00,1
18.0,2007-07-01 00:00:00,6
18.0,2007-07-16 00:00:00,2
18.0,2007-08-01 00:00:00,15
18.0,2007-08-16 00:00:00,1
18.0,2007-09-01 00:00:00,1
18.0,2007-09-16 00:00:00,8
18.0,2007-10-01 00:00:00,1
18.0,2007-12-01 00:00:00,6
18.0,2008-01-01 00:00:00,8
18.0,2008-01-16 00:00:00,3
18.0,2008-02-01 00:00:00,1
18.0,2008-08-01 00:00:00,1
18.0,2008-08-16 00:00:00,1
18.0,2008-09-01 00:00:00,2
18.0,2008-09-16 00:00:00,1
18.0,2008-10-01 00:00:00,1
