id,detailed_type,categ_id,default_code,name,sale_ok,purchase_ok,uom_id,uom_po_id,route_ids
setup.product_template.0001,product,Components / Bottle,CBA002,1 Gallon Black HDPE Smooth Side Jar 120-400 Deep Skirt Finish,0,1,Units,Units,Buy
setup.product_template.0002,product,Components / Bottle,CBA007,1 Gallon White HDPE (120-400) Smooth Side Jar Deep Skirt Finish,0,1,Units,Units,Buy
setup.product_template.0003,product,Components / Bottle,CBA014,120cc Light Amber PET,0,1,Units,Units,Buy
setup.product_template.0004,product,Components / Bottle,CBA016,1250cc Wht HDPE ALPHA,0,1,Units,Units,Buy
setup.product_template.0005,product,Components / Bottle,CBA023,12oz WHT PET 89-400,0,1,Units,Units,Buy
setup.product_template.0006,product,Components / Bottle,CBA028,1500cc Clear PET,0,1,Units,Units,Buy
setup.product_template.0007,product,Components / Bottle,CBA030,1500cc WHT HDPE,0,1,Units,Units,Buy
setup.product_template.0008,product,Components / Bottle,CBA032,150cc Black HDPE,0,1,Units,Units,Buy
setup.product_template.0009,product,Components / Bottle,CBA033,150cc Clear PZ Style PET,0,1,Units,Units,Buy
setup.product_template.0010,product,Components / Bottle,CBA036,150cc DA PET PZ,0,1,Units,Units,Buy
setup.product_template.0011,product,Components / Bottle,CBA038,150cc WHT HDPE 38-400,0,1,Units,Units,Buy
setup.product_template.0012,product,Components / Bottle,CBA040,150cc WHT PX HDPE,0,1,Units,Units,Buy
setup.product_template.0013,product,Components / Bottle,CBA041,16oz Black HDPE,0,1,Units,Units,Buy
setup.product_template.0014,product,Components / Bottle,CBA044,16oz Clear PET 89-400,0,1,Units,Units,Buy
setup.product_template.0015,product,Components / Bottle,CBA047,16oz White HDPE,0,1,Units,Units,Buy
setup.product_template.0016,product,Components / Bottle,CBA048,16oz Wht PET 89-400,0,1,Units,Units,Buy
setup.product_template.0017,product,Components / Bottle,CBA052,175cc DA PET,0,1,Units,Units,Buy
setup.product_template.0018,product,Components / Bottle,CBA055,175cc Wht HDPE Comar,0,1,Units,Units,Buy
setup.product_template.0019,product,Components / Bottle,CBA056,175cc Wht PET,0,1,Units,Units,Buy
setup.product_template.0020,product,Components / Bottle,CBA057,180 mL clear PET,0,1,Units,Units,Buy
setup.product_template.0021,product,Components / Bottle,CBA059,19oz Blk PET Jar,0,1,Units,Units,Buy
setup.product_template.0022,product,Components / Bottle,CBA061,19oz Clear PET,0,1,Units,Units,Buy
setup.product_template.0023,product,Components / Bottle,CBA064,19oz Wht PET Jar,0,1,Units,Units,Buy
setup.product_template.0024,product,Components / Bottle,CBA081,200cc WHT HDPE 38-400,0,1,Units,Units,Buy
setup.product_template.0025,product,Components / Bottle,CBA083,20oz Black HDPE (89-400),0,1,Units,Units,Buy
setup.product_template.0026,product,Components / Bottle,CBA086,20oz White HDPE,0,1,Units,Units,Buy
setup.product_template.0027,product,Components / Bottle,CBA098,250cc Clear PET Round PAcker (45-400),0,1,Units,Units,Buy
setup.product_template.0028,product,Components / Bottle,CBA101,250cc Light Amber PET,0,1,Units,Units,Buy
setup.product_template.0029,product,Components / Bottle,CBA102,250cc PPT WHT PET,0,1,Units,Units,Buy
setup.product_template.0030,product,Components / Bottle,CBA103,250cc WHT HDPE 45-400,0,1,Units,Units,Buy
setup.product_template.0031,product,Components / Bottle,CBA104,250cc WHT PET,0,1,Units,Units,Buy
setup.product_template.0032,product,Components / Bottle,CBA110,25oz Clear PET,0,1,Units,Units,Buy
setup.product_template.0033,product,Components / Bottle,CBA115,25oz White PET 89-400,0,1,Units,Units,Buy
setup.product_template.0034,product,Components / Bottle,CBA116,25oz White PET 89-400 Canyon Plastics,0,1,Units,Units,Buy
setup.product_template.0035,product,Components / Bottle,CBA117,25oz White HDPE (89-400),0,1,Units,Units,Buy
setup.product_template.0036,product,Components / Bottle,CBA122,300cc Black HDPE-Alpha Packaging,0,1,Units,Units,Buy
setup.product_template.0037,product,Components / Bottle,CBA123,300cc Clear PET,0,1,Units,Units,Buy
setup.product_template.0038,product,Components / Bottle,CBA130,300cc WHT HDPE Packer,0,1,Units,Units,Buy
setup.product_template.0039,product,Components / Bottle,CBA135,32oz Black HDPE (120-400),0,1,Units,Units,Buy
setup.product_template.0040,product,Components / Bottle,CBA136- inactive,32oz Black HDPE (89-400)-inactive,0,1,Units,Units,Buy
setup.product_template.0041,product,Components / Bottle,CBA137,32oz Black HDPE CBM (100-400),0,1,Units,Units,Buy
setup.product_template.0042,product,Components / Bottle,CBA138,32oz Black PET,0,1,Units,Units,Buy
setup.product_template.0043,product,Components / Bottle,CBA139,32oz Black HDPE (89-400),0,1,Units,Units,Buy
setup.product_template.0044,product,Components / Bottle,CBA143,32oz White HDPE Round,0,1,Units,Units,Buy
setup.product_template.0045,product,Components / Bottle,CBA144,32oz WHT Canyon Plastics PET,0,1,Units,Units,Buy
setup.product_template.0046,product,Components / Bottle,CBA146,400cc Black HDPE (45-400),0,1,Units,Units,Buy
setup.product_template.0047,product,Components / Bottle,CBA148,400cc WHT HDPE,0,1,Units,Units,Buy
setup.product_template.0048,product,Components / Bottle,CBA150,43oz Black HDPE Canister (100-400),0,1,Units,Units,Buy
setup.product_template.0049,product,Components / Bottle,CBA165,500cc WHT HDPE,0,1,Units,Units,Buy
setup.product_template.0050,product,Components / Bottle,CBA166,500cc Wht HDPE Round Packer (53-400) PH-LINE,0,1,Units,Units,Buy
setup.product_template.0051,product,Components / Bottle,CBA183,85oz Clear 110-400 PET,0,1,Units,Units,Buy
setup.product_template.0052,product,Components / Bottle,CBA187,8oz Clear PET,0,1,Units,Units,Buy
setup.product_template.0053,product,Components / Bottle,CBA190,8oz WHT HDPE,0,1,Units,Units,Buy
setup.product_template.0054,product,Components / Bottle,CBA192,16oz Natural HDPE 89-400 Wide Mouth,0,1,Units,Units,Buy
setup.product_template.0055,product,Components / Bottle,CBA193,32oz Natural HDPE 100-400 (30ct),0,1,Units,Units,Buy
setup.product_template.0056,product,Components / Bottle,CBA194,46oz Natural HDPE 100-400  (60ct),0,1,Units,Units,Buy
setup.product_template.0057,product,Components / Bottle,CBA195,400cc Clear PET,0,1,Units,Units,Buy
setup.product_template.0058,product,Components / Bottle,CBA198,75cc BLK PET Round Packer (38-400),0,1,Units,Units,Buy
setup.product_template.0059,product,Components / Bottle,CBA199,25oz black HDPE 89-400,0,1,Units,Units,Buy
setup.product_template.0060,product,Components / Bottle,CBA200,250cc Black PET (45-400),0,1,Units,Units,Buy
setup.product_template.0061,product,Components / Bottle,CBA201,150cc Black PET Round Packer (38-400),0,1,Units,Units,Buy
setup.product_template.0062,product,Components / Bottle,CBA203,2500cc BLK HDPE (CBA020),0,1,Units,Units,Buy
setup.product_template.0063,product,Components / Bottle,CBA212,12oz Black HDPE (89-400),0,1,Units,Units,Buy
setup.product_template.0064,product,Components / Caps - Lids,CBA215,100cc White HDPE Packer-,0,1,Units,Units,Buy
setup.product_template.0065,product,Components / Bottle,CBA218,400cc Black PET (45-400),0,1,Units,Units,Buy
