Part Number,Description,Category,Item Type,Unit,Replacement Cost,Vendor Lead Time,QC/Transit Lead Time,Buffer Days,Quality Control Group,Material Cost,Buyer
1 Sales,1 Sales,Other,Components,TBD,0.00,0.00,0,0,,0.00,1
1 Sales of product Income,1 Sales of product Income,Other,Components,TBD,0.00,0.00,0,0,,0.00,1
3% Credit Card Fee,3% Credit Card Fee,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
3% Credit Card Processing Fee,3% Credit Card Processing Fee,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC001,Sales (General),Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC002,Inventory Shrinkage,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC003,Shipping/Delivery Income,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC004,Shipping/Fulfillment Expense,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC005,Advertising Expense,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC006,Commissions/Brokerage,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC007,Chargebacks,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC008,Brand Allocation-Labor,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC009,Brand Allocation-Other,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC010,Kitting Fees,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC011,Sales (Product Revenue),Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC012,Warehouse Storage Fees,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC013,Repairs,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC014,Deferred Revenue,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC015,Add'l Shipping Label Fee,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC016,Managed Services-Admin,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
ACC017,Fulfillment Service Fees,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
AMS Ad Spend,AMS Ad Spend,Other,Components,TBD,0.00,0.00,0,0,,0.00,1
AMS Advertising Expense,AMS Advertising Expense,Other,Components,TBD,0.00,0.00,0,0,,0.00,1
AMS Shipping,AMS Shipping,Other,Components,TBD,0.00,0.00,0,0,,0.00,1
AMS Shipping Deduction,AMS Shipping Deduction,Other,Components,TBD,0.00,0.00,0,0,,0.00,1
AMS Shipping Expense,AMS Shipping Expense,Other,Components,TBD,0.00,0.00,0,0,,0.00,1
AMZN BalanceAdjustment (delete,AMZN BalanceAdjustment (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
AMZN Commission (deleted),AMZN Commission (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
AMZN Cost of Advertising (dele,AMZN Cost of Advertising (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
AMZN DisposalComplete (deleted,AMZN DisposalComplete (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
AMZN FBAPerUnitFulfillmentFee,AMZN FBAPerUnitFulfillmentFee (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
AMZN Goodwill (deleted),AMZN Goodwill (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
AMZN Inbound Transportation Ch,AMZN Inbound Transportation Charge (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
AMZN Inbound Transportation Fe,AMZN Inbound Transportation Fee (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
