Part Number,Description,Category,Quality Control Group,Material Cost
ACC001,Sales (General),Other,,0.00
ACC002,Inventory Shrinkage,Other,,0.00
ACC003,Shipping/Delivery Income,Other,,0.00
ACC004,Shipping/Fulfillment Expense,Other,,0.00
ACC005,Advertising Expense,Other,,0.00
ACC006,Commissions/Brokerage,Other,,0.00
ACC007,Chargebacks,Other,,0.00
ACC008,Brand Allocation-Labor,Other,,0.00
ACC009,Brand Allocation-Other,Other,,0.00
ACC010,Kitting Fees,Other,,0.00
ACC011,Sales (Product Revenue),Other,,0.00
ACC012,Warehouse Storage Fees,Other,,0.00
ACC013,Repairs,Other,,0.00
ACC014,Deferred Revenue,Other,,0.00
ACC015,Add'l Shipping Label Fee,Other,,0.00
ACC016,Managed Services-Admin,Other,,0.00
ACC017,Fulfillment Service Fees,Other,,0.00
CBA001,1 Gal White HDPE 110-400,Bottle,,0.94
CBA002,Bottles 1 Gallon Black HDPE Smooth Side Jar (120-400) Deep Skirt Finish,Bottle,07 Packaging Component,1.23
CBA003,Bottles 1 Gallon Black HDPE (110-400) Indented Label Panel,Bottle,07 Packaging Component,0.91
CBA004,Bottles 1 Gallon Black Smooth Packer (110-400),Bottle,07 Packaging Component,1.12
CBA005,Bottles 1 Gallon Black HDPE (110-400) Canyon Plastics Indented Label Panel,Bottle,07 Packaging Component,0.88
CBA006,Bottles 1 Gallon Clear PET,Bottle,07 Packaging Component,0.00
CBA007,Bottles 1 Gallon White HDPE (120-400) Smooth Side Jar Deep Skirt Finish,Bottle,07 Packaging Component,0.98
CBA008,Bottles 1 Gallon White HDPE Indented Label Panel,Bottle,07 Packaging Component,1.20
CBA009,Bottles 1 Gallon White PET,Bottle,07 Packaging Component,0.97
CBA010,Bottles 1000cc White HDPE,Bottle,07 Packaging Component,0.00
CBA011,Bottles 100cc Clear PET Packer,Bottle,07 Packaging Component,0.11
CBA012,Bottles 100cc Dark Amber PET,Bottle,07 Packaging Component,0.10
CBA013,Bottles 100cc White HDPE Alpha,Bottle,07 Packaging Component,0.00
CBA014,Bottles 120cc Light Amber PET,Bottle,07 Packaging Component,0.17
CBA015,Bottles 120cc White HDPE (38-400) Setco Berry,Bottle,07 Packaging Component,0.09
CBA016,Bottles 1250cc White HDPE Alpha,Bottle,07 Packaging Component,0.79
CBA017,12oz Amber PET Jar,Bottle,,0.33
CBA018,Bottles 12oz Black PET Jar,Bottle,07 Packaging Component,0.52
CBA019,Bottles 12oz Clear PET (89-400),Bottle,07 Packaging Component,0.34
CBA020,Bottles 12oz Dark Amber PET (70-400),Bottle,07 Packaging Component,0.26
CBA021,12oz Light Amber PET Jar,Bottle,,0.32
CBA022,Bottles 12oz White HDPE (89-400),Bottle,07 Packaging Component,0.37
CBA023,Bottles 12oz White PET (89-400),Bottle,07 Packaging Component,0.36
CBA024,Bottles 13oz Black HDPE (DS Cylinder),Bottle,07 Packaging Component,0.36
CBA025,Bottles 13oz White HDPE (Cylinder 63mm),Bottle,07 Packaging Component,0.17
CBA026,13oz White HDPE DS Cylinder Jar,Bottle,,0.00
CBA027,Bottles 1500cc Black HDPE (110-400),Bottle,07 Packaging Component,0.53
CBA028,Bottles 1500cc Clear PET,Bottle,07 Packaging Component,0.94
CBA029,Bottles 1500cc Dark Amber PET Wide Mouth Indent,Bottle,07 Packaging Component,0.89
CBA030,Bottles 1500cc White HDPE,Bottle,07 Packaging Component,0.92
CBA031,Bottles 1500cc White PET,Bottle,07 Packaging Component,0.75
CBA032,Bottles 150cc Black HDPE,Bottle,07 Packaging Component,0.20
CBA033,Bottles 150cc Clear PET PZ Style,Bottle,07 Packaging Component,0.15
CBA034,Bottles 150cc Cobalt Blue PET,Bottle,07 Packaging Component,0.18
CBA035,Bottles 150cc Dark Amber PET PX,Bottle,07 Packaging Component,0.14
CBA036,Bottles 150cc Dark Amber PET PZ,Bottle,07 Packaging Component,0.19
CBA037,Bottles 150cc Light Amber PET (38-400) Pretium,Bottle,07 Packaging Component,0.16
CBA038,Bottles 150cc White HDPE (38-400),Bottle,07 Packaging Component,0.13
CBA039,Bottles 150cc White PET (38-400),Bottle,07 Packaging Component,0.13
CBA040,Bottles 150cc White HDPE PX,Bottle,07 Packaging Component,0.16
CBA041,Bottles 16oz Black HDPE,Bottle,07 Packaging Component,0.37
CBA042,Bottles 16oz Black PET Wide Mouth Jar,Bottle,07 Packaging Component,0.45
CBA043,16oz BLK PET 89-400,Bottle,,0.53
CBA044,Bottles 16oz Clear PET (89-400),Bottle,07 Packaging Component,0.25
CBA045,Bottles 16oz Dark Amber/Black PET (89-400),Bottle,07 Packaging Component,0.29
CBA046,Bottles 16oz Light Amber PET (89-400),Bottle,07 Packaging Component,0.26
CBA047,Bottles 16oz White HDPE,Bottle,07 Packaging Component,0.42
CBA048,Bottles 16oz White PET (89-400),Bottle,07 Packaging Component,0.32
CBA049,Bottles 175cc Black HDPE,Bottle,07 Packaging Component,0.00
CBA050,Bottles 175cc Clear PET,Bottle,07 Packaging Component,0.15
CBA051,Bottles 175cc Cobalt Blue PET,Bottle,07 Packaging Component,0.31
CBA052,Bottles 175cc Dark Amber PET,Bottle,07 Packaging Component,0.15
CBA053,Bottles 175cc Light Amber PET (38-400),Bottle,07 Packaging Component,0.15
CBA054,Bottles 175cc White PX PET,Bottle,07 Packaging Component,0.00
CBA055,Bottles 175cc White HDPE Comar,Bottle,07 Packaging Component,0.18
CBA056,Bottles 175cc White PET,Bottle,07 Packaging Component,0.16
CBA057,Bottles 180ml Clear PET,Bottle,07 Packaging Component,0.45
CBA058,Bottles 19oz Black HDPE Jar,Bottle,07 Packaging Component,0.00
CBA059,Bottles 19oz Black PET Jar,Bottle,07 Packaging Component,0.58
CBA060,Bottles 19oz Blue PET,Bottle,07 Packaging Component,0.00
CBA061,Bottles 19oz Clear PET,Bottle,07 Packaging Component,0.25
CBA062,Bottles 19oz Cobalt Blue PET,Bottle,07 Packaging Component,0.35
CBA063,Bottles 19oz White HDPE,Bottle,07 Packaging Component,0.48
CBA064,Bottles 19oz White PET Jar,Bottle,07 Packaging Component,0.30
CBA065,Bottles 2 Gallon Black HDPE Wide Mouth,Bottle,07 Packaging Component,1.43
CBA066,Bottles 2000cc Black HDPE,Bottle,07 Packaging Component,1.33
CBA067,Bottles 2000cc Black PET,Bottle,07 Packaging Component,0.82
CBA068,Bottles 2000cc Clear,Bottle,07 Packaging Component,0.96
CBA069,Bottles 2000cc Dark Amber PET,Bottle,07 Packaging Component,0.88
CBA070,Bottles 2000cc White HDPE,Bottle,07 Packaging Component,0.96
CBA071,Bottles 2000cc White PET,Bottle,07 Packaging Component,0.77
CBA072,Bottles 200cc Black HDPE (45-400),Bottle,07 Packaging Component,0.28
CBA073,200cc BLK PET,Bottle,,0.00
CBA074,200cc Clear PET,Bottle,,0.00
CBA075,Bottles 200cc Clear PET Packer (38-400),Bottle,07 Packaging Component,0.17
CBA076,Bottles 200cc Cobalt Blue PET PZ,Bottle,07 Packaging Component,0.16
CBA077,Bottles 200cc Dark Amber PET,Bottle,07 Packaging Component,0.21
CBA078,Bottles 200cc Dark Amber PET 100% PCR Round Packer,Bottle,07 Packaging Component,0.14
CBA079,Bottles 200cc Light Amber PET,Bottle,07 Packaging Component,0.16
CBA080,200cc Light Amber PET (38-400),Bottle,,0.16
CBA081,Bottles 200cc White HDPE (38-400),Bottle,07 Packaging Component,0.24
CBA082,Bottles 200cc White PET (38-400),Bottle,07 Packaging Component,0.16
CBA083,Bottles 20oz Black HDPE (89-400),Bottle,07 Packaging Component,0.48
CBA084,Bottles 20oz Clear PET Canyon Plastics,Bottle,07 Packaging Component,0.26
CBA085,Bottles 20oz Cobalt Blue PET (89-400),Bottle,07 Packaging Component,0.49
CBA086,Bottles 20oz White HDPE,Bottle,07 Packaging Component,0.35
CBA087,225 cc PET dark amber 45-400,Bottle,,0.17
CBA088,Bottles 225cc Dark Amber PET,Bottle,07 Packaging Component,0.00
CBA089,Bottles 225cc Light Amber PET,Bottle,07 Packaging Component,0.28
CBA090,Bottles 225cc White HDPE Round,Bottle,07 Packaging Component,0.22
CBA091,Bottles 230ml Black Lid SG,Caps/Lids,07 Packaging Component,0.24
CBA092,Bottles 230ml Clear PET SG Bottles,Bottle,07 Packaging Component,0.39
CBA093,Bottles 2500cc Black PET,Bottle,07 Packaging Component,1.01
CBA094,Bottles 2500cc White HDPE,Bottle,07 Packaging Component,1.02
CBA095,Bottles 2500cc White PET,Bottle,07 Packaging Component,1.56
CBA096,Bottles 250cc Amber Glass Mod Packer (45-400),Bottle,07 Packaging Component,0.22
CBA097,Bottles 250cc Black HDPE,Bottle,07 Packaging Component,0.30
CBA098,Bottles 250cc Clear PET Round Packer (45-400),Bottle,07 Packaging Component,0.21
CBA099,Bottles 250cc Cobalt Blue PET,Bottle,07 Packaging Component,0.20
CBA100,Bottles 250cc Dark Amber PET,Bottle,07 Packaging Component,0.22
CBA101,Bottles 250cc Light Amber PET,Bottle,07 Packaging Component,0.29
CBA102,Bottles 250cc White PET PPT,Bottle,07 Packaging Component,0.22
CBA103,Bottles 250cc White HDPE (45-400),Bottle,07 Packaging Component,0.20
CBA104,Bottles 250cc White PET,Bottle,07 Packaging Component,0.24
CBA105,250cc WHT PET PZ 45-400,Bottle,,0.16
CBA106,Bottles 25oz Black PET Alpha,Bottle,07 Packaging Component,0.41
CBA107,Bottles 25oz Black PET (89-400) Canyon Plastics,Bottle,07 Packaging Component,0.49
